district,year,forest_km2,edge_km2,edge_ratio
Feni,2022,322.777099609375,245.4066619873047,0.7602976242251881
Khagrachhari,2022,2707.484619140625,242.68399047851562,0.08963448536802593
Lakshmipur,2022,637.6718139648438,311.610107421875,0.48866846643946965
Noakhali,2022,831.9890747070312,552.736572265625,0.6643555655586708
Rangamati,2022,4971.43310546875,405.52679443359375,0.08157140724422102
Dhaka,2022,352.4012145996094,247.8566436767578,0.7033365193090131
Faridpur,2022,593.0142822265625,437.9794921875,0.7385648294051861
Gazipur,2022,703.6868286132812,440.5066833496094,0.6259981932839255
Gopalganj,2022,618.6221923828125,447.4232177734375,0.7232576252236445
Jamalpur,2022,117.64009094238281,102.55020904541016,0.8717284067353934
Kishoreganj,2022,361.3299865722656,294.39556884765625,0.8147554307363788
Madaripur,2022,503.12750244140625,386.1916198730469,0.7675820105223177
Manikganj,2022,490.9358825683594,380.1984558105469,0.7744360705954446
Munshiganj,2022,243.4169464111328,194.82504272460938,0.800375839057436
